url_path,views_total,views_unique
/weaveworks/weave-gitops,570,370
/weaveworks/weave-gitops/blob/main/doc/img/01-workloads.png,68,59
/weaveworks/weave-gitops/tree/main/charts/gitops-server,61,35
/weaveworks/weave-gitops/blob/main/charts/gitops-server/values.yaml,55,29
/weaveworks/weave-gitops/releases,50,37
/weaveworks/weave-gitops/pulls,44,10
/weaveworks/weave-gitops/blob/main/doc/img/02-workload-detail.png,36,32
/weaveworks/weave-gitops/issues,33,23
/weaveworks/weave-gitops/blob/main/doc/img/03-graph.png,30,26
/weaveworks/weave-gitops/commits/main,20,11
